label	description	directorate
Macroeconomic Forecasting and Cyclical Outlook	Analysis of short-term economic indicators, business cycles, inflation dynamics, and the generation of projection models for Italy and the Euro area.	Economic Outlook and Monetary Policy Directorate
Monetary Policy Analysis and Transmission	Technical support and analytical modeling regarding the design, implementation, and transmission mechanisms of Eurosystem monetary policy.	Economic Outlook and Monetary Policy Directorate
Labor Market and Demographic Analysis	Research on employment dynamics, wage growth, labor supply structural factors, and the economic impacts of demographic shifts.	Structural Economic Analysis Directorate
Human Capital and Education Economics	Evaluation of educational systems, workforce skill acquisition, innovation capabilities, and long-term impacts on aggregate productivity.	Structural Economic Analysis Directorate
Public Finance and Budgetary Policy	Analysis of public revenues, government expenditure efficiency, fiscal sustainability, public debt dynamics, and budgetary policy evaluation.	Structural Economic Analysis Directorate
Industrial Organization and Regional Structure	Studies on corporate dynamics, market competitiveness, sector-specific structural changes, and the geographical configuration of the Italian economy.	Structural Economic Analysis Directorate
Systemic Risk and Macroprudential Frameworks	Identification and measurement of systemic vulnerabilities, financial risk modeling, and the calibration of macroprudential policy instruments.	Financial Stability Directorate
Banking Sector and Intermediary Analysis	Empirical research on corporate governance, stability, funding models, and risks associated with commercial banks and non-bank financial intermediaries.	Financial Stability Directorate
Financial Market Dynamics and Asset Pricing	Research on the functioning, liquidity, and asset pricing mechanisms of money, bond, equity, and derivative markets from a stability perspective.	Financial Stability Directorate
Global Macroeconomics and Spillovers	Analysis of non-Euro area economies, global commodity markets, exchange rates, and the macroeconomic interdependencies affecting Italy.	International Relations and Economics Directorate
International Trade and Global Value Chains	Research on international trade flows, structural shifts in global supply chains, trade policies, and external competitiveness indicators.	International Relations and Economics Directorate
International Cooperation and Financial Fora	Coordination of institutional documentation, policy stances, and technical representation in international bodies like the IMF, G20, OECD, and BIS.	International Relations and Economics Directorate
Micro-level Socio-Economic Surveys	Design, methodological implementation, and management of specialized sample surveys targeting households (e.g., SHIW) and firms.	Statistical Analysis Directorate
Institutional Sector Accounts and Balance of Payments	Methodological compilation, aggregation, and official publication of financial accounts, institutional balance sheets, and external sector statistics.	Statistical Analysis Directorate
Statistical Data Collection and Ingestion	Operational governance of raw financial, credit, and supervisory data reporting from entities, ensuring compliance and automated data verification.	Statistical Data Collection and Processing Directorate
Central Credit Register Operations	Administrative management, data quality assurance, and information distribution regarding the national Central Credit Register (Centrale dei Rischi).	Statistical Data Collection and Processing Directorate
None of the above	Topics not related to any other category	No Directorate
