id,Macroeconomic Forecasting and Cyclical Outlook,Monetary Policy Analysis and Transmission,Labor Market and Demographic Analysis,Human Capital and Education Economics,Public Finance and Budgetary Policy,Industrial Organization and Regional Structure,Systemic Risk and Macroprudential Frameworks,Banking Sector and Intermediary Analysis,Financial Market Dynamics and Asset Pricing,Global Macroeconomics and Spillovers,International Trade and Global Value Chains,International Cooperation and Financial Fora,Micro-level Socio-Economic Surveys,Institutional Sector Accounts and Balance of Payments,Statistical Data Collection and Ingestion,Central Credit Register Operations,None of the above,best_label,word_count,title
2,4.8534480739608915e-15,3.105699142676421e-06,8.797675553850649e-07,2.3349599516818228e-07,4.0523737246446246e-07,1.2162392070755478e-29,6.743865126734591e-07,1.6008809528847781e-12,9.751810167670756e-27,0.9999019483776137,4.572624890095611e-14,4.5241751057006724e-05,1.0297032353528714e-06,2.6266465615247534e-23,5.58502222944152e-18,1.836883468570627e-21,4.648157986433741e-05,Global Macroeconomics and Spillovers,403,The struggle to reshape the international monetary system: slow- and fast-moving processes
3,7.922511007372516e-09,1.355499675378212e-06,9.827318300644065e-07,3.196373614230674e-07,8.05699407995279e-07,4.747603272020961e-25,1.759872272060334e-21,3.758539100456226e-12,1.869722470032877e-12,0.9999776243288511,1.6576123493929997e-11,2.0063791854577716e-12,3.1064999823789274e-07,4.159122889169152e-25,3.3141369068380615e-30,8.617122919789471e-08,1.850733492493239e-05,Global Macroeconomics and Spillovers,489,The struggle to reshape the international monetary system: slow- and fast-moving processes
4,8.574118987440832e-14,1.1455346426399721e-06,1.0349253202396017e-06,3.1093766499232086e-07,8.648053955995907e-07,1.333467772251928e-16,5.524225391617043e-07,1.1706588574958395e-07,1.2032411768100152e-11,0.9999742555006108,1.1067481235157133e-11,1.5753656095009863e-11,1.0611842083778154e-06,1.65043133952993e-07,2.0942299964883048e-18,1.4821771276618442e-21,2.049254165877747e-05,Global Macroeconomics and Spillovers,2867,The struggle to reshape the international monetary system: slow- and fast-moving processes
5,0.00010725106003533995,2.5317536551273377e-05,6.147553291747321e-07,3.293931727480478e-07,3.7217600465822713e-07,2.0735936504508057e-07,3.7110420450343058e-06,1.410651330193037e-11,4.0648705507917665e-06,0.9996883280721053,2.9705234404864755e-11,2.1376561180302003e-05,7.567157079248748e-07,1.7347856566083832e-25,9.938690575098711e-18,1.8230543667671986e-15,0.00014767041413923148,Global Macroeconomics and Spillovers,1862,The struggle to reshape the international monetary system: slow- and fast-moving processes
6,0.000597742529305128,7.658268113269101e-06,4.919551408884418e-07,2.89906868108085e-07,4.72157454936183e-07,5.052029016982838e-07,4.835585243521002e-13,3.0132395046471042e-12,2.9711072408456436e-06,0.9991894499326763,3.4053729842746133e-14,0.00019898424164601855,1.4346909259230694e-06,2.9705513338473494e-20,2.9425181946818477e-18,1.5495846603607964e-21,4.196053338568271e-12,Global Macroeconomics and Spillovers,371,The struggle to reshape the international monetary system: slow- and fast-moving processes
7,7.468648439507677e-05,6.690022845779461e-12,6.481103041971502e-07,2.8249440801060304e-07,4.154085374194092e-07,2.190703012467035e-07,1.4292521435977198e-06,3.0230114505941694e-12,5.703594916580352e-14,0.999921366324732,1.4916719182916543e-13,4.920112738332657e-12,9.528353406561104e-07,9.823820035088396e-25,4.954423400919501e-18,2.0217159708867e-21,4.9982975646941156e-12,Global Macroeconomics and Spillovers,360,The struggle to reshape the international monetary system: slow- and fast-moving processes
8,7.934496099528466e-06,4.282263552097698e-19,9.648821569165372e-07,3.978673413452234e-07,2.3960727823004423e-07,6.405303536291371e-06,4.200517584766331e-07,1.517916592560134e-10,2.4229744063487163e-06,3.4975724351588408e-12,7.383791826648867e-15,0.9998883573022527,1.6935942821937133e-19,3.617511444737628e-18,1.1594749698861511e-17,3.187352553497233e-15,9.28573598705134e-05,International Cooperation and Financial Fora,3341,The struggle to reshape the international monetary system: slow- and fast-moving processes
9,8.603978807157595e-05,1.382500229357004e-06,2.551028050003798e-07,2.1405624193186155e-07,2.1478130385179185e-07,6.984497279567321e-25,1.0037567113444839e-06,9.7478966662878e-13,1.1314337896517918e-06,0.9997585079270479,1.4132820020410903e-12,7.307531962073655e-05,1.1168738023440458e-06,3.880921177176317e-25,5.765994424452289e-18,1.14647761585262e-16,7.705845798821546e-05,Global Macroeconomics and Spillovers,1921,The struggle to reshape the international monetary system: slow- and fast-moving processes
11,1.2145599911174206e-06,1.4217318045703258e-18,1.2120720317610249e-05,4.078311104923043e-07,2.3151347649917462e-05,0.9999571371945176,1.2834322023404396e-23,4.184005682537917e-12,1.991994468587358e-23,2.539056571323107e-18,9.09394134546056e-24,5.922301789239667e-23,3.631552472283032e-24,7.02894917006239e-22,1.7096696980754363e-21,1.6828707523800693e-16,5.968342228855062e-06,Industrial Organization and Regional Structure,725,"Building economic legality: institutions, reforms, technology (only in Italian)"
12,3.7459725865800436e-06,5.1980756094711706e-20,8.02672964611217e-06,7.640316311081737e-07,0.9999328178469493,2.658996058057478e-05,2.254836026915588e-07,2.124741078491611e-11,3.344790152837485e-23,1.1556321607366559e-07,3.171022494709733e-25,5.451333962872031e-25,6.761035589641698e-07,3.225063191002899e-25,1.6777519523659534e-22,7.035700515243539e-08,2.6967929976007506e-05,Public Finance and Budgetary Policy,1309,"Building economic legality: institutions, reforms, technology (only in Italian)"
